Stock,Producto y Descripción,Marca,Categorias,Precio,Precio Mayoreo,Stock mayoreo,Subclase
3,Cuaderno. Francés cocido.,C14,Oficina y escolares,35,,,Cuadernos
3,Cuaderno. Francés cocido. Raya,,Oficina y escolares,35,,,Cuadernos
4,Cuaderno. Francés cocido.,C7,Oficina y escolares,35,,,Cuadernos
6,Cuaderno. Francés cocido. Dibujo.,,Oficina y escolares,35,,,Cuadernos
4,Cuaderno. Francés cocido. Doble raya,,Oficina y escolares,35,,,Cuadernos
7,Cuaderno. Italiano.,C7,Oficina y escolares,30,,,Cuadernos
5,Cuaderno. Italiano.,C5,Oficina y escolares,30,,,Cuadernos
4,Cuaderno. Italiano. Dibujo,,Arte y manualidades,30,,,Cuadernos
5,Cuaderno. Italiano. Cocido. Doble Raya,,Oficina y escolares,35,,,Cuadernos
5,Cuaderno. Italiano. Cocido.,C14,Oficina y escolares,35,,,Cuadernos
6,Cuaderno. Italiano. Cocido.,C5,Oficina y escolares,35,,,Cuadernos
1,Cuaderno. Italiano. Cocido.,C7,Oficina y escolares,35,,,Cuadernos
6,Cuaderno. Italiano. Cocido. Dibujo,,Arte y manualidades,35,,,Cuadernos
8,Cuaderno. Italiano. Cocido. Raya,,Oficina y escolares,35,,,Cuadernos
19,Cuaderno. Italiano. Engrapado.,C5,Oficina y escolares,,,,Cuadernos
8,Cuaderno. Italiano. Engrapado. Raya,,Oficina y escolares,,,,Cuadernos
28,Cuaderno. Italiano. Engrapado. Dibujo,,Oficina y escolares,,,,Cuadernos
9,Cuaderno.Doble espiral.. Francés. Raya,,Oficina y escolares,72,,,Cuadernos
12,Cuaderno. Doble espiral. Francés. C 5,,Oficina y escolares,72,,,Cuadernos
7,Cuaderno. Doble espiral. Francés.,C7,Oficina y escolares,72,,,Cuadernos
19,Cuaderno. Francés. Raya,,Oficina y escolares,30,,,Cuadernos
9,Cuaderno. Francés.,C7,Oficina y escolares,30,,,Cuadernos
8,Cuaderno. Francés.,C5,Oficina y escolares,30,,,Cuadernos
4,Cuaderno. Francés. Dibujo,,Arte y manualidades,30,,,Cuadernos
3,Cuaderno. Francés. Doble Raya,,Oficina y escolares,30,,,Cuadernos
16,Cuaderno. Profesional. Dibujo,,Arte y manualidades,30,,,Cuadernos
3,Cuaderno. Profesional.,C5,Oficina y escolares,30,,,Cuadernos
9,Cuaderno. Profesional. Raya,,Oficina y escolares,30,,,Cuadernos
28,Cuaderno. Profesional. Doble Raya,,Oficina y escolares,30,,,Cuadernos
11,Cuaderno. Profesional.,C7,Oficina y escolares,30,,,Cuadernos
17,Cuaderno. Profesional. Mixto,,Oficina y escolares,30,,,Cuadernos
8,Cuaderno. Profesional. Cocido. Cuadro. Alemán,,Oficina y escolares,52,,,Cuadernos
5,Cuaderno. Profesional. Cocido.,C7,Oficina y escolares,52,,,Cuadernos
8,Cuadern. Profesional. Cocido.,C5,Oficina y escolares,52,,,Cuadernos
15,Silicon frío 30 ml,MAE,Oficina y escolares,10,,,Silicon
16,Silicon frío 60 ml,MAE,Oficina y escolares,15,,,Silicon
8,Silicon frío 100ml,MAE,Oficina y escolares,25,,,Silicon
5,Silicon frío 30 ml,PELIKAN,Oficina y escolares,12,,,Silicon
16,Pegamento liquido 30g,FIX-UP,Oficina y escolares,8,,,Pegamento
8,Pegamento liquido 60g,PEGAS,Oficina y escolares,15,,,Pegamento
4,Pegamento liquido 125g,PEGAS,Oficina y escolares,29,,,Pegamento
5,Pegamento liquido 250g,PEGAS,Oficina y escolares,39,,,Pegamento
7,Pegamento liquido 35g RESISTOL 850,,Oficina y escolares,,,,Pegamento
9,pegamento liquido 55g RESISTOL 850,,Oficina y escolares,,,,Pegamento
13,LápIz adhesivo 11 g,PRITT,Oficina y escolares,20,,,Lápices
